data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,bairro,categoria
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,2048,BACON SUÍNO -FRIGONOVAK -1 KG,34.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,2055,LINGUIÇA CALABRESA -FRIGONOVAK -1 KG,34.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,7891000352175,ACHOCOLATADO EM PÓ POTE -NESCAU -370 GR,8.75,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,7891962015620,BOLINHO RECHEADO SABORES  -BAUDUCCO -40 GR,2.69,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,7896016700149,CAFÉ A VÁCUO EXTRA FORTE -ALVORADA -500 GR,26.99,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",4.0,7896096500103,PÃO BISNAGUINHA  -NINO -300 GR,5.99,Sítio Cercado,Padaria
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,7896275900953,PRESUNTO COZIDO FATIADO   -FRIMESA -200 GR,9.49,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,7896275921101,BANHA SUÍNA USO CULINÁRIO -FRIMESA -450 GR,7.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,7896931614149,"SUCO INTEGRAL SABORES -CAMPO LARGO -1,35 ML",16.98,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,7622210571601,PÓ P/ REFRESCO -TANG -18 GR,1.19,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,111114,"ÁGUA MINERAL -( + ) BARATO -1,5 LITRO",2.95,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,111134,CAFÉ A VÁCUO -( + ) BARATO -500 GR,26.99,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",1.0,111138,ERVA MATE  -( + ) BARATO -1 KG,17.98,Sítio Cercado,Alimentos
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",3.0,333338,POLPA CONGELADA   -( + ) BARATO -100 GR,3.99,Sítio Cercado,Higiene
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555554,CARNE BOVINA ALCATRA COM MAMINHA S/ OSSO -( + ) BARATO -1 KG,0.0,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555556,CARNE BOVINA CONTRA FILE C/ OSSO -( + ) BARATO -1 KG,36.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555557,CARNE BOVINA CONTRA FILE S/ OSSO -( + ) BARATO -1 KG,49.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555558,CARNE BOVINA COSTELA PONTA -( + ) BARATO -1 KG,0.0,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555559,CARNE BOVINA COSTELA RIPA -( + ) BARATO -1 KG,28.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555560,CARNE BOVINA COXÃO MOLE S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,46.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555561,CARNE BOVINA FILE MIGNON S/ OSSO -( + ) BARATO -1 KG,59.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555562,CARNE BOVINA FRALDINHA S/ OSSO -( + ) BARATO -1 KG,39.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555563,CARNE BOVINA MOÍDA DE 1º  -( + ) BARATO -1 KG,37.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555564,CARNE BOVINA MUSCULO C/ OSSO -( + ) BARATO -1 KG,26.45,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555565,CARNE BOVINA PATINHO S/ OSSO ( PEDAÇO ) -( + ) BARATO -1 KG,45.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555566,CARNE BOVINA PICANHA -( + ) BARATO -1 KG,69.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555567,CARNE BOVINA POSTA BRANCA S/ OSSO ( PEDAÇO ) -( + ) BARATO -1 KG,42.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555568,CARNE BOVINA POSTA VERMELHA S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,0.0,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555569,CORAÇÃO DE GALINHA -( + ) BARATO -1 KG,29.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555571,COXA E SOBRECOXA CONGELADA  -( + ) BARATO -1 KG,9.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555572,COXINHAS DA ASA CONGELADA  -( + ) BARATO -1 KG,0.0,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555574,FILÉ DE PEITO DE FRANGO S/OSSO  -( + ) BARATO -1 KG,19.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555575,FRANGO CONGELADO  -( + ) BARATO -1 KG,10.75,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555585,PRESUNTO COZIDO FATIADO  -( + ) BARATO -200 GR,9.49,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",5.0,555587,SALSICHÃO  -( + ) BARATO -500 GR,7.99,Sítio Cercado,Açougue
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888881,ABACATE -1 KG,7.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888882,ABACAXI PEROLA -1 UN,0.0,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888883,ABOBORA KABOTIA -1 KG,3.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888884,ABOBORA MENINA -1 KG,4.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888885,ABOBORA MORANGA -1 KG,2.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888886,ABOBRINHA VERDE -1 KG,6.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888887,ACELGA -1 MC/CX,6.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888888,AGRIÃO -1 MC/CX,3.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888890,ALFACE CRESPA -1 PC/UN,3.95,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888892,ALHO A GRANEL ATENÇÃO -100 GR,3.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888894,BANANA CATURRA -1 KG,3.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888896,BANANA PRATA -1 KG,5.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888898,BATATA DOCE -1 KG,0.0,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888899,BATATA MONALISA -1 KG,0.0,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888901,BERINJELA -1 KG,6.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888902,BETERRABA -1 KG,3.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888903,BRÓCOLIS -1 UN,5.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888905,CAQUI FUYU -1 KG,6.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888906,CEBOLA -1 KG,0.0,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888908,CEBOLA ROXA -1 KG,6.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888910,CENOURA -1 KG,0.0,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888912,CHUCHU -1 KG,0.0,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888913,COUVE FLOR -1 UN,6.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888914,COUVE MANTEIGA -1 MC/CX,4.99,Sítio Cercado,Hortifruti
2025-07-31,17,Agricer,"Rua Izaac Ferreira da Cruz, 1440 - Pinheirinho - Curitiba/PR",8.0,888916,GENGIBRE -1 KG,14.99,Sítio Cercado,Hortifruti
